Entity,Code,Day,vaccine_eligibility_age
Afghanistan,AFG,2022-03-23,16
Afghanistan,AFG,2022-03-24,16
Afghanistan,AFG,2022-03-25,16
Afghanistan,AFG,2022-03-26,16
Afghanistan,AFG,2022-03-27,16
Afghanistan,AFG,2022-03-28,16
Afghanistan,AFG,2022-03-29,16
Afghanistan,AFG,2022-03-30,16
Afghanistan,AFG,2022-03-31,16
Afghanistan,AFG,2022-04-01,16
Afghanistan,AFG,2022-04-02,16
Afghanistan,AFG,2022-04-03,16
Afghanistan,AFG,2022-04-04,16
Afghanistan,AFG,2022-04-05,16
Afghanistan,AFG,2022-04-06,16
Afghanistan,AFG,2022-04-07,16
Afghanistan,AFG,2022-04-08,16
Afghanistan,AFG,2022-04-09,16
Afghanistan,AFG,2022-04-10,16
Afghanistan,AFG,2022-04-11,16
Afghanistan,AFG,2022-04-12,16
Afghanistan,AFG,2022-04-13,16
Afghanistan,AFG,2022-04-14,16
Afghanistan,AFG,2022-04-15,16
Afghanistan,AFG,2022-04-16,16
Afghanistan,AFG,2022-04-17,16
Afghanistan,AFG,2022-04-18,16
Afghanistan,AFG,2022-04-19,16
Afghanistan,AFG,2022-04-20,16
Afghanistan,AFG,2022-04-21,16
Afghanistan,AFG,2022-04-22,16
Afghanistan,AFG,2022-04-23,16
Afghanistan,AFG,2022-04-24,16
Afghanistan,AFG,2022-04-25,16
Afghanistan,AFG,2022-05-23,16
Afghanistan,AFG,2022-05-24,16
Afghanistan,AFG,2022-05-25,16
Afghanistan,AFG,2022-05-26,16
Afghanistan,AFG,2022-05-27,16
Afghanistan,AFG,2022-05-28,16
Afghanistan,AFG,2022-05-29,16
Afghanistan,AFG,2022-05-30,16
Afghanistan,AFG,2022-05-31,16
Afghanistan,AFG,2022-06-01,16
Afghanistan,AFG,2022-06-02,16
Afghanistan,AFG,2022-06-03,16
Afghanistan,AFG,2022-06-04,16
Afghanistan,AFG,2022-06-05,16
Afghanistan,AFG,2022-06-06,16
Afghanistan,AFG,2022-06-07,16
Afghanistan,AFG,2022-06-08,16
Afghanistan,AFG,2022-06-09,16
Afghanistan,AFG,2022-06-10,16
Afghanistan,AFG,2022-06-11,16
Afghanistan,AFG,2022-06-12,16
Afghanistan,AFG,2022-06-13,16
Afghanistan,AFG,2022-07-16,16
Afghanistan,AFG,2022-07-17,16
Afghanistan,AFG,2022-07-18,16
Afghanistan,AFG,2022-07-19,16
Afghanistan,AFG,2022-07-20,16
Afghanistan,AFG,2022-07-21,16
Afghanistan,AFG,2022-07-22,16
Afghanistan,AFG,2022-07-23,16
Afghanistan,AFG,2022-07-24,16
Afghanistan,AFG,2022-07-25,16
Afghanistan,AFG,2022-07-26,16
Afghanistan,AFG,2022-07-27,16
Afghanistan,AFG,2022-07-28,16
Afghanistan,AFG,2022-07-29,16
Afghanistan,AFG,2022-07-30,16
Afghanistan,AFG,2022-07-31,16
Afghanistan,AFG,2022-08-01,16
Afghanistan,AFG,2022-08-02,16
Afghanistan,AFG,2022-08-03,16
Afghanistan,AFG,2022-08-04,16
Afghanistan,AFG,2022-08-05,16
Afghanistan,AFG,2022-08-06,16
Afghanistan,AFG,2022-08-07,16
Afghanistan,AFG,2022-08-08,16
Afghanistan,AFG,2022-08-09,16
Afghanistan,AFG,2022-08-10,16
Afghanistan,AFG,2022-08-11,16
Afghanistan,AFG,2022-08-12,16
Afghanistan,AFG,2022-08-13,16
Afghanistan,AFG,2022-08-14,16
Afghanistan,AFG,2022-08-15,16
Afghanistan,AFG,2022-08-16,16
