Entity,Code,Day,vaccine_eligibility_age
United Kingdom,GBR,2022-09-07,5-15 yrs
United Kingdom,GBR,2022-09-08,5-15 yrs
United Kingdom,GBR,2022-09-09,5-15 yrs
United Kingdom,GBR,2022-09-10,5-15 yrs
United Kingdom,GBR,2022-09-11,5-15 yrs
United Kingdom,GBR,2022-09-12,5-15 yrs
United Kingdom,GBR,2022-09-13,5-15 yrs
United Kingdom,GBR,2022-09-14,5-15 yrs
United Kingdom,GBR,2022-09-15,5-15 yrs
United Kingdom,GBR,2022-09-16,5-15 yrs
United Kingdom,GBR,2022-09-17,5-15 yrs
United Kingdom,GBR,2022-09-18,5-15 yrs
United Kingdom,GBR,2022-09-19,5-15 yrs
United Kingdom,GBR,2022-09-20,5-15 yrs
United Kingdom,GBR,2022-09-21,5-15 yrs
United Kingdom,GBR,2022-09-22,5-15 yrs
United Kingdom,GBR,2022-09-23,5-15 yrs
United Kingdom,GBR,2022-09-24,5-15 yrs
United Kingdom,GBR,2022-09-25,5-15 yrs
United Kingdom,GBR,2022-09-26,5-15 yrs
United Kingdom,GBR,2022-09-27,5-15 yrs
United Kingdom,GBR,2022-09-28,5-15 yrs
United Kingdom,GBR,2022-09-29,5-15 yrs
United Kingdom,GBR,2022-09-30,5-15 yrs
United Kingdom,GBR,2022-10-01,5-15 yrs
United Kingdom,GBR,2022-10-02,5-15 yrs
United Kingdom,GBR,2022-10-03,5-15 yrs
United Kingdom,GBR,2022-10-04,5-15 yrs
United Kingdom,GBR,2022-10-05,5-15 yrs
United Kingdom,GBR,2022-10-06,5-15 yrs
United Kingdom,GBR,2022-10-07,5-15 yrs
United Kingdom,GBR,2022-10-08,5-15 yrs
United Kingdom,GBR,2022-10-09,5-15 yrs
United Kingdom,GBR,2022-10-10,5-15 yrs
United Kingdom,GBR,2022-10-11,5-15 yrs
United Kingdom,GBR,2022-10-12,5-15 yrs
United Kingdom,GBR,2022-10-13,5-15 yrs
United Kingdom,GBR,2022-10-14,5-15 yrs
United Kingdom,GBR,2022-10-15,5-15 yrs
United Kingdom,GBR,2022-10-16,5-15 yrs
United Kingdom,GBR,2022-10-17,5-15 yrs
United Kingdom,GBR,2022-10-18,5-15 yrs
United Kingdom,GBR,2022-10-19,5-15 yrs
United Kingdom,GBR,2022-10-20,5-15 yrs
United Kingdom,GBR,2022-10-21,5-15 yrs
United Kingdom,GBR,2022-10-22,5-15 yrs
United Kingdom,GBR,2022-10-23,5-15 yrs
United Kingdom,GBR,2022-10-24,5-15 yrs
United Kingdom,GBR,2022-10-25,5-15 yrs
United Kingdom,GBR,2022-10-26,5-15 yrs
United Kingdom,GBR,2022-10-27,5-15 yrs
