Entity,Code,Day,vaccine_eligibility_age
United Kingdom,GBR,2022-12-02,5-15 yrs
United Kingdom,GBR,2022-12-03,5-15 yrs
United Kingdom,GBR,2022-12-04,5-15 yrs
United Kingdom,GBR,2022-12-05,5-15 yrs
United Kingdom,GBR,2022-12-06,5-15 yrs
United Kingdom,GBR,2022-12-07,5-15 yrs
United Kingdom,GBR,2022-12-08,5-15 yrs
United Kingdom,GBR,2022-12-09,5-15 yrs
United Kingdom,GBR,2022-12-10,5-15 yrs
United Kingdom,GBR,2022-12-11,5-15 yrs
United Kingdom,GBR,2022-12-12,5-15 yrs
United Kingdom,GBR,2022-12-13,5-15 yrs
United Kingdom,GBR,2022-12-14,5-15 yrs
United Kingdom,GBR,2022-12-15,5-15 yrs
United Kingdom,GBR,2022-12-16,5-15 yrs
United Kingdom,GBR,2022-12-17,5-15 yrs
United Kingdom,GBR,2022-12-18,5-15 yrs
United Kingdom,GBR,2022-12-19,5-15 yrs
United Kingdom,GBR,2022-12-20,5-15 yrs
United Kingdom,GBR,2022-12-21,5-15 yrs
United Kingdom,GBR,2022-12-22,5-15 yrs
United Kingdom,GBR,2022-12-23,5-15 yrs
United Kingdom,GBR,2022-12-24,5-15 yrs
United Kingdom,GBR,2022-12-25,5-15 yrs
United Kingdom,GBR,2022-12-26,5-15 yrs
United Kingdom,GBR,2022-12-27,5-15 yrs
United Kingdom,GBR,2022-12-28,5-15 yrs
United Kingdom,GBR,2022-12-29,5-15 yrs
United Kingdom,GBR,2022-12-30,5-15 yrs
United Kingdom,GBR,2022-12-31,5-15 yrs
United States,USA,2020-12-30,70-74 yrs
United States,USA,2020-12-31,70-74 yrs
United States,USA,2021-01-01,70-74 yrs
United States,USA,2021-01-02,70-74 yrs
United States,USA,2021-01-03,70-74 yrs
United States,USA,2021-01-04,70-74 yrs
United States,USA,2021-01-05,70-74 yrs
United States,USA,2021-01-06,70-74 yrs
United States,USA,2021-01-07,65-69 yrs
United States,USA,2021-01-08,65-69 yrs
United States,USA,2021-01-09,65-69 yrs
United States,USA,2021-01-10,65-69 yrs
United States,USA,2021-01-11,65-69 yrs
United States,USA,2021-01-12,65-69 yrs
United States,USA,2021-01-13,65-69 yrs
United States,USA,2021-01-14,65-69 yrs
United States,USA,2021-01-15,65-69 yrs
United States,USA,2021-01-16,65-69 yrs
United States,USA,2021-01-17,65-69 yrs
United States,USA,2021-01-18,65-69 yrs
United States,USA,2021-01-19,55-59 yrs
United States,USA,2021-01-20,55-59 yrs
United States,USA,2021-01-21,55-59 yrs
United States,USA,2021-01-22,55-59 yrs
United States,USA,2021-01-23,55-59 yrs
United States,USA,2021-01-24,55-59 yrs
United States,USA,2021-01-25,55-59 yrs
United States,USA,2021-01-26,55-59 yrs
United States,USA,2021-01-27,55-59 yrs
United States,USA,2021-01-28,55-59 yrs
United States,USA,2021-01-29,55-59 yrs
United States,USA,2021-01-30,55-59 yrs
United States,USA,2021-01-31,55-59 yrs
United States,USA,2021-02-01,55-59 yrs
United States,USA,2021-02-02,55-59 yrs
United States,USA,2021-02-03,55-59 yrs
United States,USA,2021-02-04,55-59 yrs
United States,USA,2021-02-05,55-59 yrs
United States,USA,2021-02-06,55-59 yrs
United States,USA,2021-02-07,55-59 yrs
United States,USA,2021-02-08,55-59 yrs
United States,USA,2021-02-09,55-59 yrs
United States,USA,2021-02-10,55-59 yrs
United States,USA,2021-02-11,55-59 yrs
United States,USA,2021-02-12,55-59 yrs
United States,USA,2021-02-13,55-59 yrs
United States,USA,2021-02-14,55-59 yrs
United States,USA,2021-02-15,55-59 yrs
United States,USA,2021-02-16,55-59 yrs
United States,USA,2021-02-17,55-59 yrs
United States,USA,2021-02-18,55-59 yrs
United States,USA,2021-02-19,55-59 yrs
United States,USA,2021-02-20,55-59 yrs
United States,USA,2021-02-21,55-59 yrs
United States,USA,2021-02-22,55-59 yrs
United States,USA,2021-02-23,55-59 yrs
United States,USA,2021-02-24,55-59 yrs
United States,USA,2021-02-25,55-59 yrs
United States,USA,2021-02-26,55-59 yrs
United States,USA,2021-02-27,55-59 yrs
United States,USA,2021-02-28,55-59 yrs
United States,USA,2021-03-01,55-59 yrs
United States,USA,2021-03-02,55-59 yrs
United States,USA,2021-03-03,55-59 yrs
United States,USA,2021-03-04,55-59 yrs
United States,USA,2021-03-05,55-59 yrs
United States,USA,2021-03-06,55-59 yrs
United States,USA,2021-03-07,55-59 yrs
United States,USA,2021-03-08,55-59 yrs
United States,USA,2021-03-09,16-19 yrs
